Code,Name,Description
P001,Smartphone,A powerful smartphone with a large display and advanced camera features.
P002,Laptop,A lightweight laptop ideal for both work and entertainment.
P003,Desktop Computer,A high-performance desktop computer for gaming and productivity.
P004,T-shirt,A comfortable cotton T-shirt available in multiple colors.
P005,Jeans,Stylish and durable jeans suitable for everyday wear.
P006,Winter Jacket,A warm winter jacket with waterproof and windproof features.
P007,Sneakers,Sporty sneakers designed for comfort and versatility.
P008,Dress Shoes,Elegant dress shoes perfect for formal occasions.
P009,Action Figure,A detailed action figure from popular superhero franchises.
P010,Doll House,A beautifully crafted doll house with miniature furniture.
P011,Puzzle Set,A challenging puzzle set that promotes critical thinking skills.
P012,Building Blocks,Colorful building blocks to spark creativity in young minds.
P013,Microwave Oven,A high-efficiency microwave oven with multiple cooking modes.
P014,Refrigerator,A spacious refrigerator with a modern design and energy-saving features.
P015,Washing Machine,An advanced washing machine with smart wash technology.
P016,Vacuum Cleaner,A powerful vacuum cleaner with HEPA filtration for a clean home.
P017,Air Conditioner,A split air conditioner with fast cooling and energy efficiency.
P018,Blender,"A versatile blender perfect for smoothies, soups, and more."
P019,Juicer,A high-speed juicer for fresh and healthy juices.
P020,Coffee Maker,A programmable coffee maker with built-in grinder.
P021,Electric Kettle,An electric kettle with rapid boiling and auto shut-off feature.
P022,Smart TV,A smart TV with 4K resolution and streaming app support.
P023,Gaming Console,A gaming console with immersive graphics and a vast game library.
P024,Tablet,A portable tablet with a sharp display and long battery life.
P025,Smartwatch,A smartwatch with fitness tracking and notifications.
P026,Bluetooth Headset,A Bluetooth headset with crystal-clear sound and long battery life.
P027,Wireless Earbuds,Wireless earbuds with noise cancellation for an immersive listening experience.
P028,Digital Camera,A digital camera with high-resolution photography and video recording.
P029,Portable Speaker,A compact portable speaker with rich sound and deep bass.
P030,Laptop Backpack,A stylish and durable backpack with a laptop compartment and USB port.
P031,Fitness Tracker,A fitness tracker with heart rate monitoring and sleep analysis.
P032,Yoga Mat,A non-slip yoga mat ideal for home workouts and gym use.
P033,Electric Toothbrush,An electric toothbrush with multiple brushing modes and a timer.
P034,Hair Dryer,A powerful hair dryer with multiple heat settings and cool shot button.
P035,Standing Fan,A quiet and efficient standing fan with remote control.
P036,Desk Lamp,A sleek and adjustable desk lamp with multiple brightness levels.
P037,Electric Shaver,An electric shaver with a precision trimmer and ergonomic design.
P038,Portable Air Purifier,A portable air purifier with HEPA filter for clean air on the go.
P039,Smart Light Bulb,A smart light bulb with color-changing and dimming capabilities.
P040,Kids Bicycle,A sturdy kids bicycle with training wheels and safety features.
P041,Electric Scooter,An electric scooter with a foldable design and long battery life.
P042,Hoverboard,A fun hoverboard with self-balancing technology and LED lights.
P043,Board Game,A strategic board game that brings family and friends together.
P044,Remote Control Car,A remote control car with high speed and durable build.
P045,Toy Train Set,A realistic toy train set with tracks and accessories.
P046,Cooking Pan,A non-stick cooking pan ideal for healthy cooking with less oil.
P047,Cutlery Set,A high-quality cutlery set made from stainless steel.
P048,Water Filter,A water filter with multiple stages for clean drinking water.
P049,Electric Grill,An electric grill perfect for indoor BBQs and grilling.
P050,Rice Cooker,A convenient rice cooker with automatic cooking and warming features.
